ID,site,date,month,season,temp,latitude,longitude,species,SL ,FL,TL,weight_tot,Gutted_weight,lipids,Fult_K,FG_ww,HGC_ww,gut_full,GSI,phylum,spp,perc_composition
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Giganitales,65.4
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Ceramiales,18.3
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Balliales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Gelidiales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Halymeniales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Rhodymeniales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Corallinales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Gracilariales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Rhodophyta,Red Tube,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Chlorophyta,Ulvales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Chlorophyta,Bryopsidales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Chlorophyta,Cladophorales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Ochrophyta,Laminariales,7
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Ochrophyta,Fucales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Ochrophyta,Sphacelariales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Ochrophyta,Ectocarpales,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Ochrophyta,Fine Brown aglae,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Porifera,Sponge,1.8
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Cnidaria,Hydroid Colony,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Bryozoa,Soft Bryozoan,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Arthropoda,crustacean,0
s10101,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,0,1.79,2.65,349,5,15.73,Arthropoda,Amphipoda,0
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Giganitales,56.98
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Ceramiales,24
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Balliales,0
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Gelidiales,0
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Halymeniales,0
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Rhodymeniales,0
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Corallinales,0
s10102,South Cape Bay,1/3/2022,Mar,Aut,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,0,1.61,0,79,3,5.03,Rhodophyta,Gracilariales,0
